City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Estelle,US,86.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
3,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
7,Lake Charles,US,87.78,scattered clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
9,Aden,YE,88.0,broken clouds,12.7794,45.0367,Sama Emirate Hotel
10,Kiryat Gat,IL,74.08,scattered clouds,31.61,34.7642,OlusHome
13,Beirut,LB,75.94,broken clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
17,Jamestown,US,68.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
27,Fortuna,US,68.94,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
28,Guerrero Negro,MX,85.46,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
32,Rikitea,PF,73.69,broken clouds,-23.1203,-134.9692,People ThankYou
33,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Gizo Government Station,SB,83.25,few clouds,-8.103,156.8419,Imagination Island
37,Zhuhai,CN,84.06,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
43,Miracema do Tocantins,BR,88.45,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
46,Vaitape,PF,78.78,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
51,Malanje,AO,69.96,overcast clouds,-9.5402,16.341,Malanje Hotel
52,Monrovia,LR,78.42,broken clouds,6.3005,-10.7969,Sunset Inn
55,Hilo,US,80.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Cuenca,EC,71.73,light rain,-2.8833,-78.9833,Hotel Cuenca
58,Lynchburg,US,83.68,broken clouds,37.4138,-79.1423,Econo Lodge
59,Bethel,US,73.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
