City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.6666,-52.7314,60.28,81,75,2.3,CA,2021-10-03 18:35:31
1,Rikitea,-23.1203,-134.9692,73.4,64,100,17.65,PF,2021-10-03 18:43:13
2,Hobart,-42.8794,147.3294,54.1,92,90,0.0,AU,2021-10-03 18:45:16
3,Ostrovnoy,68.0531,39.5131,44.51,87,21,20.83,RU,2021-10-03 18:38:23
4,Ikeda,34.8221,135.4298,71.4,84,1,2.91,JP,2021-10-03 18:47:37
5,Bintulu,3.1667,113.0333,75.61,100,40,0.0,MY,2021-10-03 18:47:37
6,Jamestown,42.097,-79.2353,69.44,63,90,7.0,US,2021-10-03 18:47:38
7,Campo Grande,-20.4428,-54.6464,90.95,43,40,13.8,BR,2021-10-03 18:47:38
8,Lavrentiya,65.5833,-171.0,23.27,71,16,3.83,RU,2021-10-03 18:43:32
9,Hithadhoo,-0.6,73.0833,83.23,75,86,16.98,MV,2021-10-03 18:47:38
10,Tuatapere,-46.1333,167.6833,44.82,94,100,3.27,NZ,2021-10-03 18:47:19
11,Codrington,-38.2667,141.9667,49.8,91,45,15.52,AU,2021-10-03 18:45:11
12,Yellowknife,62.456,-114.3525,52.41,51,20,11.5,CA,2021-10-03 18:47:39
13,Sungaipenuh,-2.0833,101.3833,65.52,96,100,0.65,ID,2021-10-03 18:37:40
14,Jalingo,8.8833,11.3667,80.58,72,18,3.44,NG,2021-10-03 18:47:09
15,Hasaki,35.7333,140.8333,64.8,81,0,8.66,JP,2021-10-03 18:47:40
16,Vaini,-21.2,-175.2,73.56,88,90,9.22,TO,2021-10-03 18:47:40
17,Altay,47.8667,88.1167,33.06,44,100,4.88,CN,2021-10-03 18:47:41
18,Yenagoa,4.9247,6.2642,76.53,91,100,4.99,NG,2021-10-03 18:47:41
19,Dali,25.7,100.1833,59.81,96,46,4.47,CN,2021-10-03 18:47:42
20,New Norfolk,-42.7826,147.0587,53.74,82,49,1.28,AU,2021-10-03 18:46:12
21,Waingapu,-9.6567,120.2641,75.29,81,75,5.91,ID,2021-10-03 18:46:22
22,Ushuaia,-54.8,-68.3,47.86,61,75,23.02,AR,2021-10-03 18:47:42
23,Ribeira Grande,38.5167,-28.7,73.8,83,20,11.5,PT,2021-10-03 18:47:43
24,Khatanga,71.9667,102.5,17.01,95,99,10.42,RU,2021-10-03 18:43:30
25,Kodiak,57.79,-152.4072,40.51,52,1,9.22,US,2021-10-03 18:43:36
