City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saldanha,ZA,-33.0117,17.9442,50.05,74,0,24.63,clear sky
1,Estelle,US,29.8458,-90.1067,86.0,72,98,1.99,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,44.71,57,0,34.52,clear sky
3,Atuona,PF,-9.8,-139.0333,77.81,75,14,17.49,few clouds
4,Geraldton,AU,-28.7667,114.6,48.61,87,40,9.22,scattered clouds
5,Cidreira,BR,-30.1811,-50.2056,64.06,94,100,14.61,overcast clouds
6,Saint Paul Harbor,US,57.79,-152.4072,42.66,49,1,7.4,clear sky
7,Lake Charles,US,30.2131,-93.2044,87.78,63,40,0.0,scattered clouds
8,Esperance,AU,-33.8667,121.9,42.64,71,45,11.12,scattered clouds
9,Aden,YE,12.7794,45.0367,88.0,62,67,8.25,broken clouds
10,Kiryat Gat,IL,31.61,34.7642,74.08,68,38,6.2,scattered clouds
11,Bluff,NZ,-46.6,168.3333,47.8,81,100,24.25,overcast clouds
12,Beringovskiy,RU,63.05,179.3167,38.89,99,100,6.89,light rain
13,Beirut,LB,33.8889,35.4944,75.94,65,75,3.44,broken clouds
14,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
15,Cape Town,ZA,-33.9258,18.4232,56.08,60,20,10.36,few clouds
16,Ushuaia,AR,-54.8,-68.3,40.66,75,75,36.82,light rain
17,Jamestown,US,42.097,-79.2353,68.02,97,90,5.01,overcast clouds
18,Marquette,US,46.5333,-87.6335,62.04,96,100,5.53,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,16.11,light intensity drizzle
20,Cabedelo,BR,-6.9811,-34.8339,79.47,79,4,10.94,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,61,3.44,broken clouds
22,Busselton,AU,-33.65,115.3333,54.1,67,97,6.87,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,55.13,77,29,7.52,light rain
24,Wattegama,LK,6.7989,81.4808,77.92,92,100,2.64,light rain
25,Half Moon Bay,US,37.4636,-122.4286,97.25,48,1,5.75,clear sky
26,Araouane,ML,18.9048,-3.5265,95.99,12,96,7.94,overcast clouds
27,Fortuna,US,40.5982,-124.1573,68.94,71,40,1.99,scattered clouds
28,Guerrero Negro,MX,27.9769,-114.0611,85.46,42,81,10.78,broken clouds
29,Hobart,AU,-42.8794,147.3294,57.02,93,75,4.61,broken clouds
30,Clyde River,CA,70.4692,-68.5914,35.58,85,93,1.32,overcast clouds
31,Castro,BR,-24.7911,-50.0119,62.67,99,100,3.24,heavy intensity rain
32,Rikitea,PF,-23.1203,-134.9692,73.69,63,79,15.79,broken clouds
33,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,48,14.12,light rain
34,Codrington,AU,-38.2667,141.9667,50.45,84,58,19.55,broken clouds
35,Gizo Government Station,SB,-8.103,156.8419,83.25,75,12,5.57,few clouds
36,Beloha,MG,-25.1667,45.05,71.44,75,5,2.53,clear sky
37,Zhuhai,CN,22.2769,113.5678,84.06,79,20,10.36,light rain
38,Vitim,RU,59.4511,112.5578,31.21,98,100,3.4,light snow
39,Puerto El Triunfo,SV,13.2833,-88.55,94.12,79,34,5.06,scattered clouds
40,New Norfolk,AU,-42.7826,147.0587,54.75,85,63,2.55,broken clouds
41,Usinsk,RU,65.9939,57.5281,30.7,80,36,9.73,scattered clouds
42,Mar del Plata,AR,-38.0023,-57.5575,53.62,56,40,18.01,scattered clouds
43,Miracema do Tocantins,BR,-9.5618,-48.3967,88.45,40,58,4.76,broken clouds
44,Saint George,US,37.1041,-113.5841,90.95,16,1,1.99,clear sky
45,Asău,RO,46.4333,26.4,47.75,90,20,2.68,few clouds
46,Vaitape,PF,-16.5167,-151.75,78.78,72,34,9.64,scattered clouds
47,Alakurtti,RU,66.9672,30.3491,48.63,96,100,5.23,overcast clouds
48,San Vicente,AR,-26.6167,-54.1333,64.35,100,93,0.92,light rain
49,Tazovsky,RU,67.4667,78.7,32.79,90,100,9.6,overcast clouds
50,Albany,US,42.6001,-73.9662,64.09,91,100,2.08,overcast clouds
51,Malanje,AO,-9.5402,16.341,69.96,61,98,7.31,overcast clouds
52,Monrovia,LR,6.3005,-10.7969,78.42,87,81,5.23,broken clouds
53,Kruisfontein,ZA,-34.0033,24.7314,51.89,79,34,5.88,scattered clouds
54,Airai,TL,-8.9266,125.4092,61.43,57,11,1.3,few clouds
55,Hilo,US,19.7297,-155.09,80.8,69,90,6.91,overcast clouds
